,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,GO:BP,GO:0002376,immune system process,2.5943925162290127e-127,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2776,1478,548,21031,0.37077131258457374,0.19740634005763688,Module Singleton,['GO:0008150']
1,GO:BP,GO:0006955,immune response,6.343160831468282e-118,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",1988,1478,443,21031,0.2997293640054127,0.22283702213279677,Module Singleton,"['GO:0002376', 'GO:0050896']"
2,GO:BP,GO:0050896,response to stimulus,3.215108983852952e-93,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8976,1478,1014,21031,0.6860622462787551,0.11296791443850267,Module Singleton,['GO:0008150']
3,GO:CC,GO:0005576,extracellular region,1.9541294201232893e-90,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4213,1541,627,22097,0.4068786502271252,0.14882506527415143,Module Singleton,['GO:0110165']
4,GO:BP,GO:0002250,adaptive immune response,5.152682590538796e-89,True,"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",739,1478,233,21031,0.15764546684709066,0.3152909336941813,Module Singleton,['GO:0006955']
5,GO:CC,GO:0019814,immunoglobulin complex,9.183770487423275e-86,True,"""A protein complex that in its canonical form is composed of two identical immunoglobulin heavy chains and two identical immunoglobulin light chains, held together by disulfide bonds and sometimes complexed with additional proteins. An immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph."" [GOC:add, GOC:jl, ISBN:0781765196]",152,1541,107,22097,0.06943543153796236,0.7039473684210527,Module Singleton,['GO:0032991']
6,GO:CC,GO:0005615,extracellular space,4.566239098673012e-67,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3303,1541,494,22097,0.32057105775470474,0.1495610051468362,Module Singleton,"['GO:0005576', 'GO:0110165']"
7,GO:CC,GO:0071944,cell periphery,6.066083707470199e-65,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6228,1541,744,22097,0.4828033744321869,0.11946050096339114,Module Singleton,['GO:0110165']
8,GO:CC,GO:0005886,plasma membrane,6.332372777231264e-56,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",5742,1541,682,22097,0.4425697598961713,0.11877394636015326,Module Singleton,"['GO:0016020', 'GO:0071944']"
9,GO:MF,GO:0003823,antigen binding,1.5680957636299175e-53,True,"""Binding to an antigen, any substance which is capable of inducing a specific immune response and of reacting with the products of that response, the specific antibody or specifically sensitized T-lymphocytes, or both. Binding may counteract the biological activity of the antigen. Antigen binding by an MHC protein complex allows the antigen to be displayed to a T cell or NK cell."" [GOC:jl, ISBN:0198506732, ISBN:0721662544]",174,1449,90,20212,0.062111801242236024,0.5172413793103449,Module Singleton,['GO:0005488']
