source,native,name,p_value
GO:BP,GO:0006955,immune response,6.781973429330332e-17
GO:BP,GO:0002376,immune system process,2.8546493179328816e-15
GO:BP,GO:0045321,leukocyte activation,1.2318802880756047e-11
GO:BP,GO:0001906,cell killing,2.4840266759822116e-11
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,3.455564825246131e-11
GO:BP,GO:0046649,lymphocyte activation,1.4535229393588718e-10
GO:BP,GO:0001775,cell activation,1.63534148308512e-10
GO:BP,GO:0051707,response to other organism,6.127101866607602e-10
GO:BP,GO:0043207,response to external biotic stimulus,6.362572947119205e-10
GO:BP,GO:0006952,defense response,9.375287635692378e-10
GO:CC,GO:0044194,cytolytic granule,1.158621583017661e-08
GO:CC,GO:0030141,secretory granule,2.5725515749534314e-07
GO:CC,GO:0009986,cell surface,2.8447302528462866e-07
GO:CC,GO:0005576,extracellular region,1.1863882806821436e-06
GO:CC,GO:0099503,secretory vesicle,2.466969063582969e-06
GO:CC,GO:0005764,lysosome,4.701262976712491e-06
GO:CC,GO:0000323,lytic vacuole,4.701262976712491e-06
GO:CC,GO:0009897,external side of plasma membrane,1.2923862503069115e-05
GO:CC,GO:0005773,vacuole,1.6632347351028287e-05
GO:CC,GO:0031410,cytoplasmic vesicle,2.140537118673024e-05
GO:MF,GO:0050786,RAGE receptor binding,0.0005147624676249183
GO:MF,GO:0042287,MHC protein binding,0.0007593206331051872
GO:MF,GO:0038023,signaling receptor activity,0.004876732060123933
GO:MF,GO:0060089,molecular transducer activity,0.004876732060123933
GO:MF,GO:0035662,Toll-like receptor 4 binding,0.012482977138809907
GO:MF,GO:0023024,MHC class I protein complex binding,0.04350915253412141
GO:MF,GO:0050543,icosatetraenoic acid binding,0.04350915253412141
GO:MF,GO:0050544,arachidonic acid binding,0.04350915253412141
KEGG,KEGG:04650,Natural killer cell mediated cytotoxicity,0.00020763729431008638
KEGG,KEGG:04640,Hematopoietic cell lineage,0.016661885606066615
KEGG,KEGG:05332,Graft-versus-host disease,0.017204630157462927
KEGG,KEGG:05340,Primary immunodeficiency,0.017204630157462927
KEGG,KEGG:04660,T cell receptor signaling pathway,0.04442827189903598
