source,native,name,p_value
GO:BP,GO:0010033,response to organic substance,8.253840666250048e-07
GO:BP,GO:0051246,regulation of protein metabolic process,8.863241127762649e-06
GO:BP,GO:1901564,organonitrogen compound metabolic process,1.8162150797172875e-05
GO:BP,GO:0051716,cellular response to stimulus,3.1792926651301525e-05
GO:BP,GO:0050896,response to stimulus,3.750127672113208e-05
GO:BP,GO:0070887,cellular response to chemical stimulus,4.412219223040769e-05
GO:BP,GO:0050790,regulation of catalytic activity,4.5155236863910996e-05
GO:BP,GO:0019538,protein metabolic process,8.113117767716605e-05
GO:BP,GO:0065009,regulation of molecular function,0.0001696176317503419
GO:BP,GO:0034097,response to cytokine,0.00017925941034293495
GO:CC,GO:0005737,cytoplasm,5.501822590977241e-13
GO:CC,GO:0005829,cytosol,6.546748537945627e-08
GO:CC,GO:0031982,vesicle,2.719440949594641e-07
GO:CC,GO:0070062,extracellular exosome,3.3080340361555116e-07
GO:CC,GO:1903561,extracellular vesicle,4.654783806481597e-07
GO:CC,GO:0043230,extracellular organelle,4.720925421478469e-07
GO:CC,GO:0065010,extracellular membrane-bounded organelle,4.720925421478469e-07
GO:CC,GO:0005576,extracellular region,1.508384888297683e-05
GO:CC,GO:0005615,extracellular space,1.994368613740494e-05
GO:CC,GO:0043227,membrane-bounded organelle,0.00012240875169514408
GO:MF,GO:0005515,protein binding,9.84955709710709e-06
GO:MF,GO:0050786,RAGE receptor binding,0.0006074082455213896
GO:MF,GO:0019899,enzyme binding,0.0006809910314988542
